Batsman,Bowling_Category,Runs,Balls,Strike_Rate
A Badoni,Pace,512,347,147.6
A Badoni,Spin,410,295,139.0
A Deep,Pace,8,4,200.0
A Kamboj,Pace,16,13,123.1
A Kamboj,Spin,0,1,0.0
A Madhwal,Pace,6,10,60.0
A Madhwal,Spin,4,9,44.4
A Manohar,Pace,61,67,91.0
A Manohar,Spin,29,46,63.0
A Mhatre,Pace,240,127,189.0
A Mhatre,Spin,105,50,210.0
A Porel,Pace,553,361,153.2
A Porel,Spin,494,326,151.5
A Raghuvanshi,Pace,455,304,149.7
A Raghuvanshi,Spin,352,248,141.9
A Rawat,Pace,98,77,127.3
A Rawat,Spin,38,41,92.7
A Samad,Pace,322,184,175.0
A Samad,Spin,138,90,153.3
A Sharma,Pace,836,440,190.0
A Sharma,Spin,701,311,225.4
AA Kulkarni,Pace,9,8,112.5
AA Nortje,Pace,4,8,50.0
AA Nortje,Spin,1,2,50.0
AD Russell,Pace,370,206,179.6
AD Russell,Spin,209,133,157.1
AJ Turner,Pace,6,11,54.5
AJ Turner,Spin,17,10,170.0
AK Markram,Pace,605,420,144.0
AK Markram,Spin,541,376,143.9
AM Rahane,Pace,530,358,148.0
AM Rahane,Spin,544,384,141.7
AR Patel,Pace,399,288,138.5
AR Patel,Spin,409,258,158.5
AR Sharma,Pace,381,224,170.1
AR Sharma,Spin,171,119,143.7
AS Roy,Pace,3,4,75.0
AU Verma,Pace,151,106,142.5
AU Verma,Spin,176,104,169.2
AY Taide,Pace,74,48,154.2
AY Taide,Spin,46,26,176.9
Anmolpreet Singh,Pace,5,6,83.3
Arshad Khan,Pace,105,68,154.4
Arshad Khan,Spin,53,41,129.3
Arshdeep Singh,Pace,6,9,66.7
Arshdeep Singh,Spin,0,2,0.0
Avesh Khan,Pace,21,13,161.5
Avesh Khan,Spin,19,10,190.0
Azmatullah Omarzai,Pace,97,67,144.8
Azmatullah Omarzai,Spin,61,50,122.0
B Sai Sudharsan,Pace,1263,835,151.3
B Sai Sudharsan,Spin,1113,709,157.0
BKG Mendis,Pace,20,9,222.2
BKG Mendis,Spin,20,10,200.0
BR Sharath,Spin,2,5,40.0
Bhuvneshwar Kumar,Pace,32,43,74.4
Bhuvneshwar Kumar,Spin,14,31,45.2
C Bosch,Pace,47,32,146.9
C Bosch,Spin,23,22,104.5
CD Green,Pace,248,173,143.4
CD Green,Spin,165,119,138.7
D Ferreira,Pace,9,13,69.2
D Ferreira,Spin,2,6,33.3
D Hooda,Pace,154,120,128.3
D Hooda,Spin,129,99,130.3
DA Miller,Pace,348,242,143.8
DA Miller,Spin,173,135,128.1
DA Warner,Pace,167,123,135.8
DA Warner,Spin,119,79,150.6
DB Padikkal,Pace,255,192,132.8
DB Padikkal,Spin,223,163,136.8
DC Jurel,Other,1,3,33.3
DC Jurel,Pace,515,335,153.7
DC Jurel,Spin,320,220,145.5
DG Nalkande,Spin,12,11,109.1
DJ Mitchell,Pace,314,216,145.4
DJ Mitchell,Spin,270,175,154.3
DL Chahar,Pace,37,24,154.2
DL Chahar,Spin,3,9,33.3
DP Conway,Pace,137,107,128.0
DP Conway,Spin,144,109,132.1
DS Rathi,Pace,1,3,33.3
DT Brevis,Pace,292,181,161.3
DT Brevis,Spin,215,140,153.6
F du Plessis,Pace,569,368,154.6
F du Plessis,Spin,527,335,157.3
Fazalhaq Farooqi,Pace,2,2,100.0
GJ Maxwell,Pace,92,77,119.5
GJ Maxwell,Spin,78,76,102.6
GW Coetzee,Pace,31,30,103.3
GW Coetzee,Spin,5,10,50.0
Gulbadin Naib,Pace,19,15,126.7
Gulbadin Naib,Spin,18,13,138.5
H Brar,Pace,74,62,119.4
H Brar,Spin,35,24,145.8
H Klaasen,Pace,865,507,170.6
H Klaasen,Spin,708,429,165.0
HH Pandya,Pace,422,267,158.1
HH Pandya,Spin,222,141,157.4
HP Rana,Pace,49,42,116.7
HP Rana,Spin,35,25,140.0
HS Bhatia,Pace,26,32,81.2
HS Bhatia,Spin,25,30,83.3
HV Patel,Pace,34,45,75.6
HV Patel,Spin,8,13,61.5
I Sharma,Pace,1,7,14.3
IP Kishan,Pace,617,405,152.3
IP Kishan,Spin,503,324,155.2
J Overton,Pace,15,7,214.3
JA Richardson,Pace,2,2,100.0
JC Archer,Pace,63,50,126.0
JC Archer,Spin,34,29,117.2
JC Buttler,Pace,854,547,156.1
JC Buttler,Spin,674,446,151.1
JD Unadkat,Pace,23,24,95.8
JD Unadkat,Spin,4,11,36.4
JG Bethell,Pace,67,38,176.3
JG Bethell,Spin,66,36,183.3
JJ Bumrah,Pace,12,12,100.0
JJ Bumrah,Spin,1,4,25.0
JM Bairstow,Pace,369,218,169.3
JM Bairstow,Spin,284,177,160.5
JM Fraser-McGurk,Pace,352,181,194.5
JM Fraser-McGurk,Spin,288,129,223.3
JM Sharma,Pace,378,240,157.5
JM Sharma,Spin,261,181,144.2
JP Inglis,Pace,255,159,160.4
JP Inglis,Spin,230,135,170.4
JR Hazlewood,Spin,0,1,0.0
K Kushagra,Pace,2,4,50.0
K Kushagra,Spin,1,3,33.3
K Nitish Kumar Reddy,Pace,453,342,132.5
K Nitish Kumar Reddy,Spin,409,295,138.6
K Yadav,Pace,58,52,111.5
K Yadav,Spin,22,17,129.4
KA Jamieson,Pace,0,5,0.0
KA Maharaj,Pace,1,2,50.0
KD Karthik,Pace,306,163,187.7
KD Karthik,Spin,95,68,139.7
KH Pandya,Pace,226,174,129.9
KH Pandya,Spin,133,114,116.7
KK Ahmed,Pace,1,2,50.0
KK Nair,Pace,173,101,171.3
KK Nair,Spin,186,102,182.4
KK Singh,Pace,1,1,100.0
KK Singh,Spin,2,4,50.0
KL Rahul,Pace,1027,718,143.0
KL Rahul,Spin,860,611,140.8
KS Rabada,Pace,28,20,140.0
KS Rabada,Spin,2,3,66.7
KS Rathore,Pace,0,2,0.0
KS Rathore,Spin,0,5,0.0
KS Williamson,Pace,22,19,115.8
KS Williamson,Spin,27,27,100.0
KT Maphaka,Pace,8,2,400.0
KV Sharma,Pace,32,16,200.0
L Wood,Pace,9,3,300.0
L Yadav,Pace,10,12,83.3
LB Williams,Pace,1,2,50.0
LH Ferguson,Pace,5,2,250.0
LS Livingstone,Pace,210,147,142.9
LS Livingstone,Spin,147,119,123.5
LT Ngidi,Pace,0,2,0.0
M Dagar,Pace,0,1,0.0
M Jansen,Pace,92,71,129.6
M Jansen,Spin,42,36,116.7
M Shahrukh Khan,Pace,305,171,178.4
M Shahrukh Khan,Spin,217,121,179.3
M Sharma,Pace,2,16,12.5
M Sharma,Spin,2,14,14.3
M Siraj,Pace,15,12,125.0
M Siraj,Spin,12,7,171.4
M Tiwari,Pace,3,4,75.0
M Tiwari,Spin,1,2,50.0
MA Agarwal,Pace,144,112,128.6
MA Agarwal,Spin,123,78,157.7
MA Starc,Pace,11,13,84.6
MA Starc,Spin,5,9,55.6
MJ Owen,Pace,0,2,0.0
MJ Santner,Pace,52,44,118.2
MJ Santner,Spin,25,26,96.2
MJ Suthar,Pace,1,2,50.0
MK Lomror,Pace,121,65,186.2
MK Lomror,Spin,50,26,192.3
MK Pandey,Pace,134,96,139.6
MK Pandey,Spin,79,64,123.4
MM Ali,Pace,114,105,108.6
MM Ali,Spin,113,90,125.6
MM Theekshana,Pace,10,25,40.0
MM Theekshana,Spin,7,22,31.8
MP Breetzke,Pace,14,12,116.7
MP Breetzke,Spin,14,8,175.0
MP Stoinis,Pace,487,307,158.6
MP Stoinis,Spin,366,253,144.7
MR Marsh,Pace,681,412,165.3
MR Marsh,Spin,575,347,165.7
MS Bhandage,Pace,1,4,25.0
MS Bhandage,Spin,1,2,50.0
