Player,Team,Match,Over,Span⬇,Mat,Inns,Runs,BF,RR,Wkts,Ave,BpD,Dot%,Bnd%
SS Singh,PBKS,"Royal Chal Bengaluru v Punjab Kings at Ahmedabad, Tata Indian Premier League, Final, 3 Jun 2025",20,2025-2025,1,1,22,6,22,0,-,-,33.3,66.66
SS Singh,PBKS,"Royal Chal Bengaluru v Punjab Kings at Ahmedabad, Tata Indian Premier League, Final, 3 Jun 2025",19,2025-2025,1,1,13,6,13,0,-,-,33.3,33.33
KA Jamieson,PBKS,"Royal Chal Bengaluru v Punjab Kings at Ahmedabad, Tata Indian Premier League, Final, 3 Jun 2025",18,2025-2025,1,1,0,2,0,0,-,-,100,0
Azmatullah Omarzai,PBKS,"Royal Chal Bengaluru v Punjab Kings at Ahmedabad, Tata Indian Premier League, Final, 3 Jun 2025",18,2025-2025,1,1,0,1,0,1,0,1,100,0
SS Singh,PBKS,"Royal Chal Bengaluru v Punjab Kings at Ahmedabad, Tata Indian Premier League, Final, 3 Jun 2025",18,2025-2025,1,1,3,3,6,0,-,-,33.3,0
SS Singh,PBKS,"Royal Chal Bengaluru v Punjab Kings at Ahmedabad, Tata Indian Premier League, Final, 3 Jun 2025",17,2025-2025,1,1,1,1,6,0,-,-,0,0
Azmatullah Omarzai,PBKS,"Royal Chal Bengaluru v Punjab Kings at Ahmedabad, Tata Indian Premier League, Final, 3 Jun 2025",17,2025-2025,1,1,1,1,6,0,-,-,0,0
MP Stoinis,PBKS,"Royal Chal Bengaluru v Punjab Kings at Ahmedabad, Tata Indian Premier League, Final, 3 Jun 2025",17,2025-2025,1,1,6,2,18,1,6,2,50,50
N Wadhera,PBKS,"Royal Chal Bengaluru v Punjab Kings at Ahmedabad, Tata Indian Premier League, Final, 3 Jun 2025",17,2025-2025,1,1,0,2,0,1,0,2,100,0
N Wadhera,PBKS,"Royal Chal Bengaluru v Punjab Kings at Ahmedabad, Tata Indian Premier League, Final, 3 Jun 2025",16,2025-2025,1,1,2,2,6,0,-,-,0,0
SS Singh,PBKS,"Royal Chal Bengaluru v Punjab Kings at Ahmedabad, Tata Indian Premier League, Final, 3 Jun 2025",16,2025-2025,1,1,13,4,19.5,0,-,-,25,50
N Wadhera,PBKS,"Royal Chal Bengaluru v Punjab Kings at Ahmedabad, Tata Indian Premier League, Final, 3 Jun 2025",15,2025-2025,1,1,7,2,21,0,-,-,0,50
SS Singh,PBKS,"Royal Chal Bengaluru v Punjab Kings at Ahmedabad, Tata Indian Premier League, Final, 3 Jun 2025",15,2025-2025,1,1,6,4,9,0,-,-,25,25
N Wadhera,PBKS,"Royal Chal Bengaluru v Punjab Kings at Ahmedabad, Tata Indian Premier League, Final, 3 Jun 2025",14,2025-2025,1,1,3,4,4.5,0,-,-,50,0
SS Singh,PBKS,"Royal Chal Bengaluru v Punjab Kings at Ahmedabad, Tata Indian Premier League, Final, 3 Jun 2025",14,2025-2025,1,1,1,2,3,0,-,-,50,0
N Wadhera,PBKS,"Royal Chal Bengaluru v Punjab Kings at Ahmedabad, Tata Indian Premier League, Final, 3 Jun 2025",13,2025-2025,1,1,1,1,6,0,-,-,0,0
SS Singh,PBKS,"Royal Chal Bengaluru v Punjab Kings at Ahmedabad, Tata Indian Premier League, Final, 3 Jun 2025",13,2025-2025,1,1,2,4,3,0,-,-,50,0
JP Inglis,PBKS,"Royal Chal Bengaluru v Punjab Kings at Ahmedabad, Tata Indian Premier League, Final, 3 Jun 2025",13,2025-2025,1,1,0,1,0,1,0,1,100,0
N Wadhera,PBKS,"Royal Chal Bengaluru v Punjab Kings at Ahmedabad, Tata Indian Premier League, Final, 3 Jun 2025",12,2025-2025,1,1,1,3,2,0,-,-,66.6,0
JP Inglis,PBKS,"Royal Chal Bengaluru v Punjab Kings at Ahmedabad, Tata Indian Premier League, Final, 3 Jun 2025",12,2025-2025,1,1,8,3,16,0,-,-,0,33.33
N Wadhera,PBKS,"Royal Chal Bengaluru v Punjab Kings at Ahmedabad, Tata Indian Premier League, Final, 3 Jun 2025",11,2025-2025,1,1,0,3,0,0,-,-,100,0
JP Inglis,PBKS,"Royal Chal Bengaluru v Punjab Kings at Ahmedabad, Tata Indian Premier League, Final, 3 Jun 2025",11,2025-2025,1,1,7,3,14,0,-,-,33.3,33.33
N Wadhera,PBKS,"Royal Chal Bengaluru v Punjab Kings at Ahmedabad, Tata Indian Premier League, Final, 3 Jun 2025",10,2025-2025,1,1,1,1,6,0,-,-,0,0
SS Iyer,PBKS,"Royal Chal Bengaluru v Punjab Kings at Ahmedabad, Tata Indian Premier League, Final, 3 Jun 2025",10,2025-2025,1,1,0,1,0,1,0,1,100,0
JP Inglis,PBKS,"Royal Chal Bengaluru v Punjab Kings at Ahmedabad, Tata Indian Premier League, Final, 3 Jun 2025",10,2025-2025,1,1,6,4,9,0,-,-,25,25
SS Iyer,PBKS,"Royal Chal Bengaluru v Punjab Kings at Ahmedabad, Tata Indian Premier League, Final, 3 Jun 2025",9,2025-2025,1,1,1,1,6,0,-,-,0,0
JP Inglis,PBKS,"Royal Chal Bengaluru v Punjab Kings at Ahmedabad, Tata Indian Premier League, Final, 3 Jun 2025",9,2025-2025,1,1,2,3,4,0,-,-,33.3,0
Prabhsimran Singh,PBKS,"Royal Chal Bengaluru v Punjab Kings at Ahmedabad, Tata Indian Premier League, Final, 3 Jun 2025",9,2025-2025,1,1,1,2,3,1,1,2,50,0
JP Inglis,PBKS,"Royal Chal Bengaluru v Punjab Kings at Ahmedabad, Tata Indian Premier League, Final, 3 Jun 2025",8,2025-2025,1,1,7,2,21,0,-,-,0,50
Prabhsimran Singh,PBKS,"Royal Chal Bengaluru v Punjab Kings at Ahmedabad, Tata Indian Premier League, Final, 3 Jun 2025",8,2025-2025,1,1,8,4,12,0,-,-,25,25
JP Inglis,PBKS,"Royal Chal Bengaluru v Punjab Kings at Ahmedabad, Tata Indian Premier League, Final, 3 Jun 2025",7,2025-2025,1,1,1,2,3,0,-,-,50,0
Prabhsimran Singh,PBKS,"Royal Chal Bengaluru v Punjab Kings at Ahmedabad, Tata Indian Premier League, Final, 3 Jun 2025",7,2025-2025,1,1,2,4,3,0,-,-,50,0
JP Inglis,PBKS,"Royal Chal Bengaluru v Punjab Kings at Ahmedabad, Tata Indian Premier League, Final, 3 Jun 2025",6,2025-2025,1,1,8,5,9.6,0,-,-,60,20
Prabhsimran Singh,PBKS,"Royal Chal Bengaluru v Punjab Kings at Ahmedabad, Tata Indian Premier League, Final, 3 Jun 2025",6,2025-2025,1,1,1,1,6,0,-,-,0,0
Prabhsimran Singh,PBKS,"Royal Chal Bengaluru v Punjab Kings at Ahmedabad, Tata Indian Premier League, Final, 3 Jun 2025",5,2025-2025,1,1,1,1,6,0,-,-,0,0
P Arya,PBKS,"Royal Chal Bengaluru v Punjab Kings at Ahmedabad, Tata Indian Premier League, Final, 3 Jun 2025",5,2025-2025,1,1,9,5,10.8,1,9,5,40,40
P Arya,PBKS,"Royal Chal Bengaluru v Punjab Kings at Ahmedabad, Tata Indian Premier League, Final, 3 Jun 2025",4,2025-2025,1,1,1,3,2,0,-,-,66.6,0
Prabhsimran Singh,PBKS,"Royal Chal Bengaluru v Punjab Kings at Ahmedabad, Tata Indian Premier League, Final, 3 Jun 2025",4,2025-2025,1,1,3,3,6,0,-,-,33.3,0
P Arya,PBKS,"Royal Chal Bengaluru v Punjab Kings at Ahmedabad, Tata Indian Premier League, Final, 3 Jun 2025",3,2025-2025,1,1,3,3,6,0,-,-,33.3,0
Prabhsimran Singh,PBKS,"Royal Chal Bengaluru v Punjab Kings at Ahmedabad, Tata Indian Premier League, Final, 3 Jun 2025",3,2025-2025,1,1,2,3,4,0,-,-,33.3,0
Prabhsimran Singh,PBKS,"Royal Chal Bengaluru v Punjab Kings at Ahmedabad, Tata Indian Premier League, Final, 3 Jun 2025",2,2025-2025,1,1,1,2,3,0,-,-,50,0
P Arya,PBKS,"Royal Chal Bengaluru v Punjab Kings at Ahmedabad, Tata Indian Premier League, Final, 3 Jun 2025",2,2025-2025,1,1,5,4,7.5,0,-,-,50,25
Prabhsimran Singh,PBKS,"Royal Chal Bengaluru v Punjab Kings at Ahmedabad, Tata Indian Premier League, Final, 3 Jun 2025",1,2025-2025,1,1,7,2,21,0,-,-,0,50
P Arya,PBKS,"Royal Chal Bengaluru v Punjab Kings at Ahmedabad, Tata Indian Premier League, Final, 3 Jun 2025",1,2025-2025,1,1,6,4,9,0,-,-,25,25
Y Dayal,RCB,"Royal Chal Bengaluru v Punjab Kings at Ahmedabad, Tata Indian Premier League, Final, 3 Jun 2025",20,2025-2025,1,1,1,1,6,0,-,-,0,0
Bhuvneshwar Kumar,RCB,"Royal Chal Bengaluru v Punjab Kings at Ahmedabad, Tata Indian Premier League, Final, 3 Jun 2025",20,2025-2025,1,1,1,2,3,1,1,2,50,0
R Shepherd,RCB,"Royal Chal Bengaluru v Punjab Kings at Ahmedabad, Tata Indian Premier League, Final, 3 Jun 2025",20,2025-2025,1,1,0,1,0,1,0,1,100,0
